"","i1","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15","i16","i17","i18"
"1","21/03/2024 15:36:52","15:31:00",3,5,3,4,4,1,2,2,5,1,4,"","",NA,"",NA
"2","05/04/2024 10:24:58","10:23:00",4,3,3,2,3,3,6,5,6,3,3,"","",NA,"",NA
"3","05/04/2024 10:52:49","10:40:00",3,3,1,4,2,1,1,5,6,1,4,"","",NA,"",NA
"4","05/04/2024 11:15:20","11:14:00",3,3,5,3,3,2,3,3,5,2,2,"","",NA,"",NA
"5","05/04/2024 12:34:37","12:33:00",5,4,1,5,3,3,6,4,6,5,4,"","",NA,"",NA
"6","05/04/2024 12:55:43","10:00:00",5,3,3,4,1,1,5,3,6,2,2,"","",NA,"",NA
"7","05/04/2024 16:02:49","16:00:00",5,3,2,6,3,1,5,1,5,4,5,"","",NA,"",NA
"8","05/04/2024 18:10:09","18:08:00",5,6,4,3,2,2,2,5,6,2,3,"","",NA,"",NA
"9","05/04/2024 18:33:22","18:32:00",1,2,3,2,1,2,2,1,4,1,1,"","",NA,"",NA
"10","05/04/2024 19:51:32","19:36:00",2,4,2,5,2,2,5,5,3,1,1,"","",NA,"",NA
"11","05/04/2024 19:54:10","19:52:00",5,5,1,6,1,1,6,3,6,3,4,"","",NA,"",NA
"12","06/04/2024 17:35:48","17:34:00",3,1,1,4,1,1,1,4,4,1,1,"","",NA,"",NA
"13","07/04/2024 09:18:07","23:45:00",2,1,1,2,1,2,1,3,4,1,3,"","",NA,"",NA
"14","07/04/2024 15:49:43","15:48:00",2,2,4,6,3,4,5,5,5,1,4,"","",NA,"",NA
"15","07/04/2024 17:08:48","14:30:00",2,3,1,5,2,1,4,4,3,1,1,"","",NA,"",NA
"16","07/04/2024 19:12:57","19:10:00",5,3,2,5,2,1,6,4,6,1,3,"","",NA,"",NA
"17","07/04/2024 23:18:29","23:14:00",3,4,2,5,1,2,2,4,6,3,5,"Kommt immer auf die Wichtigkeit von Aufgaben an, ob ich mir erlaube zu prokrastinieren.","",NA,"",NA
"18","08/04/2024 04:29:36","04:28:00",1,3,1,5,2,2,4,5,4,1,2,"","",NA,"",NA
"19","08/04/2024 09:37:49","09:30:00",2,2,1,5,2,1,3,3,4,1,1,"","",NA,"",NA
"20","08/04/2024 11:56:36","11:55:00",4,4,1,4,2,2,4,2,5,2,4,"","",NA,"",NA
"21","08/04/2024 12:55:52","10:00:00",5,2,4,2,1,1,3,2,5,1,2,"","",NA,"",NA
"22","08/04/2024 23:26:41","23:00:00",2,2,2,3,1,1,1,1,6,5,3,"","",NA,"",NA
