Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.18,-0.24,-0.09,-0.16,-0.1,-0.22,-0.18,-0.1,-0.14,-.23,-.22,-.18,-.17,***,***,-0.12,-0.17,-.20
1881,-0.19,-0.14,0.03,0.05,0.06,-0.19,0,-0.04,-0.16,-.22,-.19,-.07,-.09,-.10,-.17,0.05,-0.08,-.19
1882,0.16,0.14,0.04,-0.17,-0.15,-0.23,-0.17,-0.07,-0.14,-.24,-.17,-.36,-.11,-.09,.08,-0.09,-0.16,-.18
1883,-0.29,-0.37,-0.13,-0.19,-0.19,-0.08,-0.08,-0.15,-0.22,-.12,-.25,-.12,-.18,-.20,-.34,-0.17,-0.1,-.19
1884,-0.13,-0.09,-0.37,-0.4,-0.34,-0.36,-0.31,-0.29,-0.28,-.25,-.34,-.31,-.29,-.27,-.11,-0.37,-0.32,-.29
1885,-0.58,-0.34,-0.27,-0.42,-0.45,-0.44,-0.35,-0.32,-0.29,-.24,-.25,-.11,-.34,-.36,-.41,-0.38,-0.37,-.26
1886,-0.45,-0.51,-0.43,-0.28,-0.25,-0.35,-0.18,-0.31,-0.24,-.28,-.28,-.26,-.32,-.31,-.36,-0.32,-0.28,-.27
1887,-0.72,-0.57,-0.36,-0.35,-0.31,-0.25,-0.26,-0.36,-0.26,-.36,-.27,-.33,-.37,-.36,-.52,-0.34,-0.29,-.30
1888,-0.35,-0.37,-0.42,-0.2,-0.22,-0.18,-0.11,-0.17,-0.12,.01,.02,-.05,-.18,-.20,-.35,-0.28,-0.15,-.03
1889,-0.1,0.16,0.05,0.09,-0.02,-0.11,-0.08,-0.21,-0.24,-.26,-.34,-.30,-.11,-.09,.01,0.04,-0.13,-.28
1890,-0.43,-0.45,-0.41,-0.3,-0.4,-0.25,-0.29,-0.4,-0.37,-.26,-.44,-.32,-.36,-.36,-.39,-0.37,-0.31,-.36
1891,-0.34,-0.47,-0.19,-0.28,-0.17,-0.22,-0.18,-0.18,-0.16,-.23,-.32,-.05,-.23,-.26,-.38,-0.21,-0.19,-.24
1892,-0.3,-0.12,-0.41,-0.34,-0.24,-0.23,-0.32,-0.28,-0.17,-.14,-.43,-.39,-.28,-.25,-.16,-0.33,-0.28,-.25
1893,-0.81,-0.57,-0.22,-0.27,-0.33,-0.25,-0.14,-0.26,-0.23,-.19,-.19,-.35,-.32,-.32,-.59,-0.28,-0.22,-.20
1894,-0.54,-0.31,-0.24,-0.46,-0.33,-0.42,-0.25,-0.26,-0.29,-.24,-.27,-.23,-.32,-.33,-.40,-0.34,-0.31,-.27
1895,-0.43,-0.43,-0.34,-0.23,-0.29,-0.22,-0.19,-0.19,-0.13,-.11,-.17,-.14,-.24,-.25,-.36,-0.29,-0.2,-.13
1896,-0.22,-0.12,-0.26,-0.3,-0.16,-0.11,-0.02,-0.05,-0.07,.06,-.04,-.05,-.11,-.12,-.16,-0.24,-0.06,-.02
1897,-0.15,-0.16,-0.13,-0.02,-0.01,-0.11,-0.02,-0.09,-0.08,-.13,-.18,-.21,-.11,-.09,-.12,-0.05,-0.07,-.13
1898,-0.02,-0.3,-0.51,-0.31,-0.31,-0.19,-0.23,-0.27,-0.21,-.34,-.39,-.23,-.28,-.27,-.18,-0.37,-0.23,-.31
1899,-0.17,-0.39,-0.36,-0.21,-0.24,-0.32,-0.17,-0.09,-0.05,-.04,.12,-.26,-.18,-.18,-.26,-0.27,-0.19,.01
1900,-0.36,-0.06,0,-0.09,-0.09,-0.1,-0.13,-0.09,-0.05,.09,-.07,-.07,-.08,-.10,-.23,-0.06,-0.11,-.01
1901,-0.22,-0.11,0.06,-0.03,-0.15,-0.12,-0.15,-0.21,-0.23,-.30,-.17,-.28,-.16,-.14,-.13,-0.04,-0.16,-.23
1902,-0.16,-0.09,-0.27,-0.28,-0.33,-0.32,-0.28,-0.3,-0.29,-.31,-.36,-.42,-.28,-.27,-.18,-0.29,-0.3,-.32
1903,-0.24,-0.06,-0.23,-0.41,-0.4,-0.43,-0.35,-0.46,-0.49,-.47,-.42,-.51,-.37,-.36,-.24,-0.35,-0.41,-.46
1904,-0.63,-0.59,-0.51,-0.51,-0.52,-0.49,-0.51,-0.5,-0.56,-.39,-.18,-.33,-.48,-.49,-.57,-0.51,-0.5,-.37
1905,-0.35,-0.59,-0.22,-0.34,-0.29,-0.28,-0.26,-0.2,-0.19,-.25,-.07,-.13,-.26,-.28,-.42,-0.28,-0.25,-.17
1906,-0.28,-0.29,-0.19,-0.05,-0.26,-0.2,-0.23,-0.2,-0.28,-.20,-.38,-.15,-.23,-.22,-.23,-0.17,-0.21,-.29
1907,-0.43,-0.51,-0.27,-0.37,-0.47,-0.42,-0.35,-0.34,-0.34,-.23,-.46,-.47,-.39,-.36,-.36,-0.37,-0.37,-.34
1908,-0.44,-0.33,-0.55,-0.44,-0.37,-0.38,-0.35,-0.46,-0.35,-.44,-.52,-.49,-.43,-.43,-.41,-0.46,-0.4,-.44
1909,-0.73,-0.46,-0.54,-0.59,-0.55,-0.52,-0.45,-0.34,-0.39,-.40,-.32,-.56,-.49,-.48,-.56,-0.56,-0.44,-.37
1910,-0.42,-0.4,-0.5,-0.43,-0.34,-0.38,-0.34,-0.37,-0.39,-.41,-.57,-.67,-.44,-.43,-.46,-0.42,-0.37,-.46
1911,-0.62,-0.57,-0.6,-0.54,-0.51,-0.51,-0.42,-0.44,-0.4,-.26,-.21,-.21,-.44,-.48,-.62,-0.55,-0.46,-.29
1912,-0.25,-0.14,-0.38,-0.17,-0.22,-0.24,-0.43,-0.55,-0.58,-.58,-.39,-.43,-.36,-.34,-.20,-0.26,-0.4,-.51
1913,-0.4,-0.44,-0.43,-0.39,-0.44,-0.45,-0.36,-0.34,-0.34,-.32,-.20,-.02,-.34,-.38,-.43,-0.42,-0.38,-.29
1914,0.05,-0.1,-0.24,-0.3,-0.21,-0.25,-0.23,-0.16,-0.16,-.03,-.15,-.04,-.15,-.15,-.02,-0.25,-0.21,-.12
1915,-0.2,-0.04,-0.1,0.06,-0.06,-0.22,-0.13,-0.22,-0.2,-.24,-.13,-.21,-.14,-.13,-.09,-0.03,-0.19,-.19
1916,-0.12,-0.14,-0.28,-0.3,-0.35,-0.49,-0.37,-0.28,-0.36,-.34,-.46,-.81,-.36,-.31,-.16,-0.31,-0.38,-.39
1917,-0.57,-0.63,-0.63,-0.55,-0.55,-0.43,-0.26,-0.23,-0.22,-.44,-.34,-.67,-.46,-.47,-.67,-0.58,-0.31,-.33
1918,-0.48,-0.34,-0.25,-0.44,-0.43,-0.36,-0.32,-0.32,-0.17,-.06,-.12,-.30,-.30,-.33,-.50,-0.37,-0.33,-.12
1919,-0.2,-0.23,-0.21,-0.12,-0.28,-0.36,-0.29,-0.33,-0.25,-.20,-.41,-.42,-.28,-.27,-.24,-0.2,-0.33,-.29
1920,-0.25,-0.27,-0.12,-0.24,-0.27,-0.36,-0.3,-0.26,-0.21,-.27,-.27,-.47,-.27,-.27,-.31,-0.21,-0.31,-.25
1921,-0.05,-0.18,-0.22,-0.29,-0.3,-0.27,-0.14,-0.26,-0.18,-.03,-.14,-.17,-.19,-.21,-.23,-0.27,-0.22,-.12
1922,-0.34,-0.44,-0.15,-0.23,-0.33,-0.3,-0.27,-0.33,-0.35,-.32,-.14,-.19,-.28,-.28,-.32,-0.23,-0.3,-.27
